Question,Answer,Title
cult center timings,"Generally cult centres stay open from 6:00 AM to 12:00 PM and 4:00 PM to 10:00 PM. At times, few centres would have sessions starting little early or later.",cult centers
cult center contact details,Please reach out to us on the cult.fit app for more details.,cult centers
How many days in advance can I book a cult class?,You can only book up to 4 classes at a time.,Booking cult classes
How many Cult classes can I book at a time?,You can only book up to 4 classes at a time.,Booking cult classes
What does a 1 on 1 Training Pack offer?,1 on 1 Training packs helps you be regular and removes the hassle of paying for a session every time you want to work out with your trainer.,1 on 1 Training session at Cult
Where is 1 on 1 training available?,"1 on 1 training is available in select centers of Mumbai, Delhi, and Bangalore.",1 on 1 Training session at Cult
How long does a 1 on 1 training session last?,1 on 1 Training Session lasts for 50 minutes.,1 on 1 Training session at Cult
"I dropped out of a class but then I booked it again, will I get a no-show?",If you attend the class then you will not get a no-show but if you miss then 1 day from your membership will be reduced.,Dropout 
"My waitlist get confirmed in the last 90 mins of class and then I dropout, will I get a no-show?","Since it is a last minute confirmation of your waitlist, you will not be getting a no-show for this class.",Dropout 
What does a Public/Private profile mean,Only users who have made their profile public can see the profiles of other members in their class.,Cult Moments
Is it mandatory to have the Aarogya Setu App?,"We encourage the use of the Arogya Setu App as per the guidelines from the Government. However, it is not mandatory to have the app to enter the center.",COVID-19 Precautions
What happens if I commit a 4th or a 5th No-Show in a month?,"Each No-Show after the 3rd No-Show in a month will attract the same extended penalty i.e., membership deduction of 1 day and a block penalty.",No Show policy
Can I still attend classes if I reach the three no-show limit?,"Absolutely! After the two-day booking restriction period, you will regain access to book classes again.",No Show policy
Can I use Cult Gyms?,Absolutely! The policy only restricts bookings to group classes and does not impact gym check-ins.,No Show policy
What is the time frame for cancelling a class booking?,We encourage members to cancel their class booking at least 1 hour before the class starts to avoid a No-Show Penalty.,No Show policy
Will this policy apply to all classes offered?,"Yes, the new no-show policy will be applicable to all our fitness group classes.",No Show policy
Is this a refundable product?,"No, there shall not be any cancellations or refunds, once you have purchased the Nutrition Consultation membership.",Nutrition Consultation FAQs
What happens if the Nutrition consultations are modified/cancelled without notice?,"In such cases, we will communicate any changes in advance and provide alternatives as appropriate.",Nutrition Consultation FAQs
How many free gym trials do I get?,You can take 2 free gym trial sessions before you decide to buy a cultpass. You can take these trials at any gym of your choice.,Free Trials
What can I expect in my free  gym trial?,"During your free trial, you will get, a detailed walk through of the gym, free body composition analysis and a complete gym workout session",Free Trials
Will there be trainers present at the gym to assist me?,"At every cultpass gym, there are cult-certified trainers present on the floor to guide you and assist you with your workouts.",Assistance at the gym
How do I book my classes for my gym?,You do not have to book any classes on the app. You can simply walk in to access the gym facilities or attend any group class in your chosen center.,Booking A Class
Do I need to schedule my visit to cultpass gyms?,"You can book a time slot before visiting cultpass gyms. However, it isn’t mandatory. You can visit the gym and check-in directly",Booking A Class
Can I visit a cultpass gym without booking/scheduling a time slot?,"Yes you can visit the gym without booking, however check in before entering is mandatory",Booking A Class
Which cultpass should I buy to visit : cult centers,For unlimited access to cult centers please buy a cultpass,Membership
Which cultpass should I buy to visit : ELITE gyms,"For unlimited access to ELITE gyms, please buy a cultpass ELITE",Membership
Which cultpass should I buy to visit : PRO gyms,"For unlimited access to PRO gyms, you can buy either a cultpass PRO or a cultpass ELITE",Membership
